row_index,MPN,Part_Desc,Manufacturer,Brand,Classpath,classification_status,classification_method,evidence_tier,evidence_type,evidence_url,evidence_match_status,evidence_summary,taxonomy_validation,contradiction_check,confidence,validation_status,rejection_reason
193,1513710,1nx6-12' Salt Flat Grooved - Trex Transcend Lineage Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
194,1513711,1nx6-16' Salt Flat Grooved - Trex Transcend Lineage Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
195,1513712,1nx6-20' Salt Flat Grooved - Trex Transcend Lineage Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
196,1513717,1nx6-16' Honey Grove Sq Edge - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
197,1513718,1nx6-20' Honey Grove Sq Edge - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
198,1513719,1nx6-12' Honey Grove Grooved - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
199,1513720,1nx6-16' Honey Grove Grooved - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
200,1513721,1nx6-20' Honey Grove Grooved - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
201,1513724,1nx6-16' Tide Pool Sq Edge - Trex Enhance Basics Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
202,1513725,1nx6-20' Tide Pool Sq Edge - Trex Enhance Basics Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
203,1513726,1nx6-12' Tide Pool Grooved - Trex Enhance Basics Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
204,1513727,1nx6-16' Tide Pool Grooved - Trex Enhance Basics Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
205,1513728,1nx6-20' Tide Pool Grooved - Trex Enhance Basics Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
206,543076016,1nx6-16' Cinnamon Cove Sq Edge - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
207,543076020,1nx6-20' Cinnamon Cove Sq Edge - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
208,543076412,1nx6-12' Cinnamon Cove Grooved - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
209,543076416,1nx6-16' Cinnamon Cove Grooved - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
210,543076420,1nx6-20' Cinnamon Cove Grooved - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
211,1516870,1nx6-16' Golden Hour Sq Edge - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
212,1516871,1nx6-20' Golden Hour Sq Edge - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
213,1516872,1nx6-12' Golden Hour Grooved - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
214,1516873,1nx6-16' Golden Hour Grooved - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
215,1516874,1nx6-20' Golden Hour Grooved - Trex Enhance Naturals Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
216,1516879,1nx6-16' Pebble Beach Sq Edge - Trex Enhance Basics Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
217,1516880,1nx6-20' Pebble Beach Sq Edge - Trex Enhance Basics Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
218,1516881,1nx6-12' Pebble Beach Grooved - Trex Enhance Basics Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
219,1516882,1nx6-16' Pebble Beach Grooved - Trex Enhance Basics Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
220,1516883,1nx6-20' Pebble Beach Grooved - Trex Enhance Basics Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
221,543005016,7/8nx6-16' Malted Barley Sq Edge - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
222,543005020,7/8nx6-20' Malted Barley Sq Edge - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
223,543005412,7/8nx6-12' Malted Barley Grooved - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
224,543005416,7/8nx6-16' Malted Barley Grooved - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
225,543005420,7/8nx6-20' Malted Barley Grooved - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
226,1516891,7/8nx6-16' Millstone Sq Edge - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
227,1516892,7/8nx6-20' Millstone Sq Edge -Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
228,1516893,7/8nx6-12' Millstone Grooved - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
229,1516894,7/8nx6-16' Millstone Grooved - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
230,1516895,7/8nx6-20' Millstone Grooved - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
231,543007016,7/8nx6-16' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
232,543007020,7/8nx6-20' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
233,543007412,7/8nx6-12' Whiskey Barrel Grooved - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
234,543007416,7/8nx6-16' Whiskey Barrel Grooved - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
235,543007420,7/8nx6-20' Whiskey Barrel Grooved - Trex Select 2.0 Decking,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
236,ADR5117512CS,1x12-12' Coastline - Vintage Azek PVC Fascia,Timbertech (Azek Building Products),TimberTech®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
237,ADR5117512MH,1x12-12' Mahogany - Vintage Azek PVC Fascia,Timbertech (Azek Building Products),TimberTech®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
238,ADR5117512WT,1x12-12' Weathered Teak - Vintage Azek PVC Fascia,Timbertech (Azek Building Products),TimberTech®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
239,ADR5117512AW,1x12-12' American Walnut - Landmark Azek PVC Fascia,Timbertech (Azek Building Products),TimberTech®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
240,ADR5117512CG,1x12-12' Castle Gate - Landmark Azek PVC Fascia,Timbertech (Azek Building Products),TimberTech®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
241,ADR5117512FW,1x12-12' French White Oak - Landmark Azek PVC Fascia,Timbertech (Azek Building Products),TimberTech®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
242,1508395,1x8-12' Brownstone - Harvest Azek PVC Fascia,Timbertech (Azek Building Products),TimberTech®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
243,1508396,1x8-12' Slate Gray - Harvest Azek PVC Fascia,Timbertech (Azek Building Products),TimberTech®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
244,ADCR5117512BS,1x12-12' Brownstone - Harvest Azek PVC Fascia,Timbertech (Azek Building Products),TimberTech®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
245,ADCR5117512SG,1x12-12' Slate Gray - Harvest Azek PVC Fascia,Timbertech (Azek Building Products),TimberTech®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
246,543140908,1x8-12' Biscayne - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
247,543142908,1x8-12' Carmel - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
248,543143908,1x8-12' Jasper - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
249,543140912,1x12-12' Biscayne - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
250,543142912,1x12-12' Carmel - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
251,543143912,1x12-12' Jasper - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
252,1513715,1x12-12' Hatteras - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
253,1513716,1x12-12' Salt Flat - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
254,1513722,1x8-12' Honey Grove - Trex Enhance Naturals Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
255,1513723,1x12-12' Honey Grove - Trex Enhance Naturals Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
256,1513729,1x8-12' Tide Pool - Trex Enhance Basics Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
257,1513730,1x12-12' Tide Pool - Trex Enhance Basics Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
258,543076916,1x8-12' Cinnamon Cove - Trex Enhance Naturals Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
259,1516876,1x8-12' Golden Hour - Trex Enhance Naturals Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
260,543076936,1x12-12' Cinnamon Cove - Trex Enhance Naturals Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
261,1516878,1x12-12' Golden Hour - Trex Enhance Naturals Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
262,1516884,1x8-12' Pebble Beach - Trex Enhance Basics Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
263,1516885,1x12-12' Pebble Beach - Trex Enhance Basics Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
264,543005916,1x8-12' Malted Barley - Trex Select 2.0 Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
265,1516902,1x8-12' Millstone - Trex Select 2.0 Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
266,543007916,1x8-12' Whiskey Barrel - Trex Select 2.0 Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
267,543005936,1x12-12' Malted Barley - Trex Select 2.0 Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
268,1516905,1x12-12' Millstone - Trex Select 2.0 Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
269,543007936,1x12-12' Whiskey Barrel - Trex Select 2.0 Fascia,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Fascia Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
270,543144908,1x8-12' Island Mist - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
271,543141908,1x8-12' Rainier - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
272,543144912,1x12-12' Island Mist - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
273,543141912,1x12-12' Rainier - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
274,1513713,1x8-12' Hatteras - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
275,1513714,1x8-12' Salt Flat - Trex Lineage,"Trex Company, Inc.",Trex®,Building Materials>Decking & Railing>Deck Boards,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
276,73012503,4x4 Wh Heritage Post Trim RDI,Rdi Railing (Barrette Outdoor Living),RDI®,Building Materials>Decking & Railing>Railing Kits,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
277,73018131,6x6 Wh Elite Post Trim 4pc RDI,Rdi Railing (Barrette Outdoor Living),RDI®,Building Materials>Decking & Railing>Railing Kits,CLASSIFIED,RULE_MATCH,Tier 3,DIRECT_DATASET,,PASS,Explicit product noun phrase in description matched deterministic taxonomy schema,PASS,PASS,HIGH,PASS,NONE
